code,korname,engname
95720,웅진씽크빅 보통주,"WOONGJIN THINKBIG CO., LTD."
5820,원림보통주,Wonlim
10600,웰바이오텍보통주,WELLBIOTEC
8600,윌비스보통주,TheWillBes
14830,유니드 보통주,UNID
47400,유니온머티리얼보통주,Union Materials Corp.
910,유니온보통주,Union
11330,유니켐보통주,"UNI CHEM.CO.,LTD"
77500,유니퀘스트 보통주,Uniquest Corporation
2920,유성기업보통주,YoosungEnterprise
700,유수홀딩스보통주,EUSU HOLDINGS
3475,유안타증권1우선주,Yuanta Securities Korea(1P)
3470,유안타증권보통주,Yuanta Securities Korea
72130,유엔젤보통주,UANGEL
225,유유제약1우선주,YuyuPharma(1P)
227,유유제약2우선주(신형),YuyuPharma(2PB)
220,유유제약보통주,YuyuPharma
1200,유진투자증권보통주,EUGENE INVESTMENT & SECURITIES
105,유한양행1우선주,Yuhan(1P)
100,유한양행보통주,Yuhan
3465,유화증권1우선주,YuhwaSecurities(1P)
3460,유화증권보통주,YuhwaSecurities
8730,율촌화학보통주,YoulchonChemical
8250,이건산업보통주,EagonIndustrial
25820,이구산업보통주,LeekuIndustrial
214320,이노션보통주,INNOCEAN WORLDWIDE INC.
88260,이리츠코크렙기업구조조정부동산투자회사보통주,E KOCREF CR-REIT
139480,이마트보통주,"E-MART Co., Ltd."
7660,이수페타시스보통주,ISUPETASYS
5950,이수화학보통주,IsuChemical
15020,이스타코보통주,e-STARCO
93230,이아이디보통주,E Investment&Development
74610,이엔플러스보통주,ENPLUS
102460,이연제약보통주,REYON PHARMACEUTICAL
84680,이월드보통주,E-WORLD
350520,이지스레지던스리츠보통주,IGIS RESIDENCE REIT
334890,이지스밸류플러스리츠보통주,IGIS Value Plus REIT
760,이화산업보통주,RIFA
14990,인디에프보통주,In the F
101140,인바이오젠보통주,INBIOGEN
6490,인스코비보통주,Inscobee
23800,인지컨트롤스보통주,InziControls
34590,인천도시가스 보통주,INCHEON CITY GAS
129260,인터지스보통주,INTERGIS
23810,인팩보통주,INFAC
249420,일동제약보통주,ILDONG PHARM
230,일동홀딩스보통주,ILDONG HOLDINGS
13360,일성건설보통주,IlsungConstruction
3120,일성신약보통주,IlsungPharmaceutical
3200,일신방직보통주,IlshinSpinning
7110,일신석재보통주,IlshinStone
7575,일양약품1우선주,IlyangPharmaceutical(1P)
7570,일양약품보통주,IlyangPharmaceutical
8500,일정실업보통주,IljeongIndustrial
81000,일진다이아몬드 보통주,"ILJIN DIAMOND CO., LTD"
20760,일진디스플레이보통주,ILJIN DISPLAY
20150,일진머티리얼즈보통주,ILJIN MATERIALS
103590,일진전기 보통주,ILJIN ELECTRIC
15860,일진홀딩스보통주,ILJINHOLDINGS
226320,잇츠한불보통주,ITSHANBUL
317400,자이에스앤디보통주,XI S&D
33240,자화전자보통주,JahwaElectronics
950,전방보통주,Chonbang
348950,제이알글로벌리츠보통주,JR GLOBAL REIT
194370,제이에스코퍼레이션보통주,JS Corporation
25620,제이준코스메틱보통주,Jayjun Cosmetic
36420,제이콘텐트리보통주,Jcontentree corp.
30000,제일기획보통주,CheilWorldwide
271980,제일약품보통주,JEIL PHARM
1560,제일연마공업보통주,"CHEILGRINDINGWHEELIND.CO.,LTD"
2620,제일파마홀딩스보통주,JEIL PHARMA HOLDINGS INC.
6220,제주은행보통주,Jeju Bank
89590,제주항공보통주,"JEJUAIR, CO., LTD."
4910,조광페인트보통주,ChokwangPaint
4700,조광피혁보통주,ChokwangLeather
1550,조비보통주,Chobi
480,조선내화보통주,ChosunRefractories
120030,조선선재 보통주,"CHOSUN WELDING POHANG Co., Ltd"
18470,조일알미늄보통주,CHOILALUMINUM
2600,조흥보통주,CHOHEUNG CORPORATION
63160,종근당바이오보통주,CKDBioCorporation
185750,종근당보통주,CHONGKUNDANG
1630,종근당홀딩스보통주,CHONGKUNDANG HOLDINGS CORP.
70960,주식회사 용평리조트,YONG PYONG RESORT CORPORATION
23450,주식회사동남합성,"DONGNAMCHEMICALCO,.LTD."
2380,주식회사케이씨씨,KCC Corporation
44380,주연테크 보통주,JOOYONTECH
24110,중소기업은행보통주,INDUSTRIALBANKOFKOREA
13890,지누스보통주,ZINUS
1250,지에스글로벌보통주,GS Global Corp.
7070,지에스리테일보통주,GS Retail
13870,지엠비코리아보통주,GMB Korea
71320,지역난방공사보통주,Korea District Heating
10580,지코보통주,"JICO CO.,LTD."
35000,지투알보통주,GⅡR Inc.
88790,진도 보통주,"JINDO.CO.,LTD"
3780,진양산업보통주,Chinyang Industry
10640,진양폴리우레탄보통주,ChinYangPolyurethane
100250,진양홀딩스보통주,Chinyang Holdings Corporation
51630,진양화학보통주,ChinYangChemicalCorporation
272450,진에어보통주,JIN AIR
11000,진원생명과학보통주,GeneOneLifeScience
2785,진흥기업1우선주(신형),CHINHUNG INT(1PB)
2787,진흥기업2우선주(신형),CHINHUNG INT (2PB)
2780,진흥기업보통주,ChinhungInternational
9310,참엔지니어링보통주,Charm Engineering
650,천일고속보통주,ChunilExpress
33250,체시스보통주,"CHASYS Co.,Ltd"
35720,카카오보통주,Kakao
6380,카프로보통주,CAPRO
109070,컨버즈보통주,CONBUZZ
1620,케이비아이동국실업보통주,KBI DONGKOOK IND
9440,케이씨그린홀딩스보통주,KC Green Holdings
29460,케이씨보통주,KC
344820,케이씨씨글라스보통주,KCC GLASS Corporation
119650,케이씨코트렐보통주,KC Cottrell
281820,케이씨텍보통주,KCTECH
44450,케이에스에스 해운 보통주,KSS LINE
92220,케이이씨 보통주,KEC Corporation
145270,케이탑리츠보통주,KTOPREITs
30200,케이티보통주,KTCorporation
30210,케이티비투자증권보통주,"KTB Investment & Securities Co., Ltd"
53210,케이티스카이라이프,"KT Skylife Co., Ltd."
58850,케이티씨에스보통주,ktcs corporation
58860,케이티아이에스보통주,ktis Corporation
33780,케이티앤지보통주,KT&G Corporation
357120,코람코에너지플러스리츠보통주,KORAMCO ENERGY PLUS REIT
7815,코리아써키트1우선주,KoreaCircuit(1P)
00781K,코리아써키트2우선주(신형),KOREA CIRCUIT(2PB)
7810,코리아써키트보통주,KoreaCircuit
3690,코리안리재보험보통주,Korean Reinsurance Company
192820,코스맥스보통주,"COSMAX, INC."
44820,코스맥스비티아이 주식회사 보통주,COSMAX BTI
5070,코스모신소재보통주,CosmoAM&T
5420,코스모화학보통주,COSMOCHEMICALCO
71950,코아스보통주,KOAS
2025,코오롱1우선주,KOLON CORPORATION(1P)
3075,코오롱글로벌1우선주,KolonGlobalCorporation(1P)
3070,코오롱글로벌보통주,KolonGlobalCorporation
144620,코오롱머티리얼보통주,KOLON MATERIALS
2020,코오롱보통주,KOLON CORPORATION
120115,코오롱인더스트리1우선주,KOLON INDUSTRIES(1P)
120110,코오롱인더스트리보통주,KOLON INDUSTRIES
138490,코오롱플라스틱보통주,"KOLON PLASTICS, INC."
21240,코웨이보통주,COWAY
31820,콤텍시스템보통주,ComtecSystems
192400,쿠쿠홀딩스보통주,"Cuckoo Holdings Co.,Ltd"
284740,쿠쿠홈시스보통주,CUCKOO HOMESYS
15590,큐로보통주,CURO
26490K,크라운제과1우선주,CROWN(1P)
264900,크라운제과보통주,CROWN
5745,크라운해태홀딩스1우선주,CROWNHAITAI Holdings(1P)
5740,크라운해태홀딩스보통주,CROWNHAITAI Holdings
20120,키다리스튜디오보통주,KidariStudio
39490,키움증권보통주,KIWOOM Securities
14580,태경비케이보통주,TAEKYUNG BK
15890,태경산업보통주,TaekyungIndustrial
6890,태경케미컬보통주,"TAEKYUNGCHEMICALCO.,LTD"
3240,태광산업보통주,TaekwangIndustrial
11280,태림포장보통주,Tailim Packaging
4105,태양금속공업1우선주,TaeyangMetalIndustrial(1P)
4100,태양금속공업보통주,TaeyangMetalIndustrial
9410,태영건설보통주,TAEYOUNG ENGINEERING & CONSTRUCTION
9415,태영건설우선주,TAEYOUNG ENGINEERING & CONSTRUCTION(1P)
1420,태원물산보통주,TaewonMulsan
7980,태평양물산보통주,PAN-PACIFIC
55490,테이팩스보통주,TAPEX
78000,텔코웨어 보통주,TELCOWARE
214420,토니모리보통주,"TONYMOLY Co., Ltd."
19180,티에이치엔보통주,THN CORPORATION
2900,티와이엠보통주,TYM CORPORATION
36328K,티와이홀딩스1우선주,TY HOLDINGS(1P)
363280,티와이홀딩스보통주,TY HOLDINGS
91810,티웨이항공보통주,TWAYAIR
4870,티웨이홀딩스보통주,T'way Holdings
5690,파미셀보통주,Pharmicell
36580,팜스코보통주,FARMSCO
4720,팜젠사이언스보통주,PharmGen Science
28670,팬오션보통주,PanOcean
10820,퍼스텍보통주,FIRSTEC
16800,퍼시스보통주,Fursys
1020,페이퍼코리아보통주,PaperCorea Inc.
90080,평화산업 주식회사 보통주,"Pyung Hwa Industrial Co., Ltd."
10770,평화홀딩스보통주,Pyung Hwa Holdings
58430,포스코강판보통주,POSCO COATED & COLOR STEEL
5490,포스코보통주,POSCO
47050,포스코인터내셔널보통주,POSCO INTERNATIONAL
3670,포스코케미칼보통주,POSCO CHEMICAL
7630,폴루스바이오팜보통주,POLUS BioPharm Inc.
17810,풀무원보통주,PULMUONE
103140,풍산 보통주,POONGSAN CORPORATION
5810,풍산홀딩스보통주,POONGSAN HOLDINGS
950210,프레스티지바이오파마KDR,PRESTIGE BIOPHARMA LIMITED KDR
86790,하나금융지주보통주,HanaFinancialGroupInc.
293480,하나제약보통주,Hana Pharm
39130,하나투어보통주,HANATOUR SERVICE
172580,하이골드오션12호국제선박투자회사,Hi Gold Ocean Kmarin No.12 Ship Investment Company
153360,하이골드오션3호선박투자회사,Hi Gold Ocean No.3 Ship Investment Company
352820,하이브보통주,HYBE
71090,하이스틸 보통주,"HISTEEL CO., LTD."
19490,하이트론씨스템즈보통주,HitronSystems
87,하이트진로2우선주(신형),HITEJINRO(2PB)
80,하이트진로보통주,HITEJINRO
145,하이트진로홀딩스1우선주,HITEJINROHOLDINGS(1P)
140,하이트진로홀딩스보통주,HITEJINROHOLDINGS
36460,한국가스공사보통주,KoreaGasCorporation
5430,한국공항보통주,KoreaAirportService
10040,한국내화보통주,KOREAREFRACTORIES
25540,한국단자공업보통주,KoreaElectricTerminal
96300,한국베트남부동산개발특별자산1호투자회사,Vietnam Real Estate Development Fund1
4090,한국석유공업보통주,KOREA PETROLEUM INDUSTRIES
2200,한국수출포장공업보통주,KoreaExportPackagingIndustrial
2960,한국쉘석유보통주,HankookShellOil
240,한국앤컴퍼니보통주,HANKOOK & COMPANY
33270,한국유나이티드제약 보통주,Korea United Pharm. Inc.
123890,한국자산신탁보통주,KAIT
15760,한국전력공사보통주,KoreaElectricPower
52690,한국전력기술 보통주,KEPCO Engineering & Construction
6200,한국전자홀딩스보통주,KEC HOLDINGS
9540,한국조선해양보통주,KOREA SHIPBUILDING & OFFSHORE ENGINEERING
23350,한국종합기술보통주,Korea Engineering Consultants Corp.
25890,한국주강보통주,HankookSteel
970,한국주철관공업보통주,KoreaCastIronPipeInd
104700,한국철강보통주,KISCO Corp.
17960,한국카본보통주,HankukCarbon
161890,한국콜마보통주,KOLMAR KOREA
24720,한국콜마홀딩스보통주,KOLMAR KOREA HOLDINGS
161390,한국타이어앤테크놀로지보통주,HANKOOK TIRE & TECHNOLOGY
34830,한국토지신탁보통주,KOREIT
152550,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),KIM ANKOR Oilfield Overseas Resources Development Fund[1]
168490,한국투자Parallel유전해외자원개발특별자산투자회사1호,KIM Parallel Oilfield Overseas Resources Development Fund[1]
71055,한국투자금융지주1우선주,KOREA INVESTMENT HOLDINGS(1P)
71050,한국투자금융지주보통주,KOREA INVESTMENT HOLDINGS
7280,한국특강보통주,KOREA STEEL
10100,한국프랜지공업보통주,KoreaFlange
47810,한국항공우주산업보통주,KOREA AEROSPACE INDUSTRIES
123690,한국화장품보통주,HANKOOKCOSMETICS
3350,한국화장품제조보통주,HankookCosmeticsManufacturing
11500,한농화성보통주,HANNONGCHEMICALSINC.
2390,한독보통주,HANDOK Inc.
14790,한라보통주,Halla Corporation
60980,한라홀딩스보통주,Halla Holdings Corporation
53690,한미글로벌건축사사무소보통주,"HanmiGlobal Co., Ltd"
42700,한미반도체보통주,"HANMISemiconductorCO.,Ltd."
8930,한미사이언스보통주,Hanmi Science
128940,한미약품보통주,HanmiPharm
9240,한샘보통주,"HANSSEM CO.,LTD."
20000,한섬보통주,HandsomeCorporation
3680,한성기업보통주,HansungEnterprise
105630,한세실업보통주,HANSAE
69640,한세엠케이보통주,HANSAEMK
16450,한세예스24홀딩스보통주,HansaeYes24Holdings
10420,한솔PNS보통주,HANSOLPNS
9180,한솔로지스틱스보통주,Hansol Logistics
213500,한솔제지보통주,"Hansol Paper Co., Ltd."
14680,한솔케미칼보통주,HansolChemical
4710,한솔테크닉스보통주,HansolTechnics
4150,한솔홀딩스보통주,Hansol Holdings
25750,한솔홈데코보통주,HansolHomeDeco
4960,한신공영보통주,HanshinConstruction
11700,한신기계공업보통주,HanshinMachinery
1755,한양증권1우선주,HanyangSecurities(1P)
1750,한양증권보통주,HanyangSecurities
18880,한온시스템보통주,Hanon Systems
9420,한올바이오파마보통주,"HANALL BIOPHARMA CO.,LTD"
14130,한익스프레스보통주,HanExpress
300720,한일시멘트보통주,HANILCEMENT
2220,한일철강보통주,HanilIron&Steel
6390,한일현대시멘트보통주,HANIL HYUNDAI CEMENT
3300,한일홀딩스보통주,HANILHOLDINGS
51600,한전KPS 보통주,KEPCO Plant Service & Engineering
130660,한전산업개발보통주,Korea Electric Power Industrial Development
2320,한진보통주,HanjinTransportation
97230,한진중공업 보통주,HANJIN HEAVY INDUSTRIES & CONSTRUCTION
3480,한진중공업홀딩스보통주,HanjinHeavyInd&ConstHoldings
18064K,한진칼1우선주,HANJINKAL(1P)
180640,한진칼보통주,HANJINKAL
5110,한창보통주,Hanchang
9460,한창제지보통주,HanchangPaper
885,한화1우선주,Hanwha(1P)
00088K,한화3우선주(신형),HANWHA(3PB)
880,한화보통주,Hanwha
88350,한화생명보험보통주,HANWHA LIFE INSURANCE
370,한화손해보험보통주,"Hanwha General Insurance Co.,Ltd."
9835,한화솔루션1우선주,HANWHA SOLUTIONS(1P)
9830,한화솔루션보통주,HANWHA SOLUTIONS
272210,한화시스템보통주,HANWHA SYSTEMS
12450,한화에어로스페이스보통주,HANWHA AEROSPACE
3535,한화투자증권1우선주,HANWHA INVESTMENT & SECURITIES(1P)
3530,한화투자증권보통주,HANWHA INVESTMENT & SECURITIES
195870,해성디에스보통주,HAESUNG DS
101530,해태제과식품주식회사,"Haitai Confectionery and Foods Co., Ltd."
143210,핸즈코퍼레이션보통주,HANDS CORPORATION
725,현대건설1우선주,HyundaiEngineering&Construction(1P)
267270,현대건설기계보통주,HYUNDAI CE
720,현대건설보통주,HyundaiEngineering&Construction
5440,현대그린푸드보통주,HYUNDAIGREENFOOD
86280,현대글로비스보통주,"HYUNDAIGLOVIS Co.,LTD"
64350,현대로템보통주,HYUNDAI ROTEM
79430,현대리바트보통주,HYUNDAILIVART
12330,현대모비스보통주,HyundaiMobis
10620,현대미포조선보통주,HyundaiMipoDockyard
69960,현대백화점보통주,"HYUNDAIDEPARTMENTSTORECO.,LTD"
4565,현대비앤지스틸1우선주,HYUNDAI BNG STEEL(1P)
4560,현대비앤지스틸보통주,HYUNDAI BNG STEEL
4310,현대약품보통주,Hyundai pharm
322000,현대에너지솔루션보통주,HYUNDAI ENERGY SOLUTIONS
17800,현대엘리베이터보통주,HyundaiElevator
307950,현대오토에버보통주,HyundaiAutoever
11210,현대위아보통주,HYUNDAI WIA
267260,현대일렉트릭보통주,HYUNDAI ELECTRIC
5385,현대자동차1우선주,HyundaiMotor(1P)
5387,현대자동차2우선주(신형),HyundaiMotor(2PB)
5389,현대자동차3우선주(신형),HyundaiMotor(3PB)
5380,현대자동차보통주,HyundaiMotor
4020,현대제철 보통주,HYUNDAI STEEL
267250,현대중공업지주보통주,HYUNDAI HEAVY INDUSTRIES HOLDINGS
1500,현대차증권보통주,HYUNDAI MOTOR SECURITIES
11760,현대코퍼레이션보통주,HYUNDAI CORPORATION
227840,현대코퍼레이션홀딩스보통주,HYUNDAI CORPORATION HOLDINGS
126560,현대퓨처넷보통주,Hyundai Futurenet
1450,현대해상화재보험보통주,"Hyundai MARINE & FIRE INSURANCE CO.,LTD"
57050,현대홈쇼핑보통주,HYUNDAI HOME SHOPPING NETWORK CORPORATION
93240,형지엘리트보통주,HYUNGJI ELITE
3010,혜인보통주,HaeinCorporation
111110,호전실업보통주,Hojeon
8775,호텔신라1우선주,HotelShilla(1P)
8770,호텔신라보통주,HotelShilla
2460,화성산업보통주,HwasungIndustrial
378850,화승알앤에이보통주,"HWASEUNG R&A CO., LTD."
241590,화승엔터프라이즈보통주,HWASEUNG ENTERPRISE
6060,화승인더스트리보통주,HSIndustries
13520,화승코퍼레이션보통주,Hwaseung Corporation
10690,화신보통주,Hwashin
133820,화인베스틸보통주,FINEBESTEEL
10660,화천기계보통주,HWACHEON MACHINERY
850,화천기공보통주,HwacheonMachineTool
16580,환인제약보통주,WhaninPharm
32560,황금에스티보통주,Hwang Kum Steel & Technology
4800,효성보통주,Hyosung
94280,효성아이티엑스 보통주,"HYOSUNG ITX Co., Ltd."
298040,효성중공업보통주,HYOSUNG HEAVY INDUSTRIES
298050,효성첨단소재보통주,HYOSUNG ADVANCED MATERIALS
298020,효성티앤씨보통주,HYOSUNG TNC
298000,효성화학보통주,HYOSUNG CHEMICAL
93370,후성 보통주,"FOOSUNG CO.,LTD"
81660,휠라홀딩스보통주,Fila Holdings
5870,휴니드테크놀러지스보통주,HuneedTechnologies
79980,휴비스보통주,HUVIS
5010,휴스틸보통주,HUSTEEL
69260,휴켐스보통주,HuchemsFineChemicalCorporation
545,흥국화재해상보험1우선주,HeungkukFire&MarineIns(1P)
547,흥국화재해상보험2우선주(신형),HeungkukFire&MarineIns(2PB)
540,흥국화재해상보험보통주,HeungkukFire&MarineInsurance
3280,흥아해운보통주,HeungaShipping
